episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-250,0,250,0,0
1,-250,0,250,0,0
2,-250,0,250,0,0
3,-124,0,25,0,0
4,-124,0,25,0,0
5,-250,0,250,0,0
6,-190,0,91,0,0
7,-134,0,35,0,0
8,-114,0,15,0,0
9,-202,0,103,0,0
10,-174,0,75,0,0
11,-194,0,95,0,0
12,-225,0,126,0,0
13,-109,0,10,0,0
14,-297,0,198,0,0
15,-250,0,250,0,0
16,-209,0,110,0,0
17,-250,0,250,0,0
18,-118,0,19,0,0
19,-132,0,33,0,0
20,-328,0,229,0,0
21,-246,0,147,0,0
22,-250,0,250,0,0
23,-121,0,22,0,0
24,-250,0,250,0,0
25,-317,0,218,0,0
26,-134,0,35,0,0
27,-217,0,118,0,0
28,-130,0,31,0,0
29,-244,0,145,0,0
30,-208,0,109,0,0
31,-262,0,163,0,0
32,-273,0,174,0,0
33,-250,0,250,0,0
34,-162,0,63,0,0
35,-248,0,149,0,0
36,-134,0,35,0,0
37,-216,0,117,0,0
38,-254,0,155,0,0
39,-194,0,95,0,0
40,-250,0,250,0,0
41,-105,0,6,0,0
42,-250,0,250,0,0
43,-237,0,138,0,0
44,-179,0,80,0,0
45,-337,0,238,0,0
46,-344,0,245,0,0
47,-244,0,145,0,0
48,-299,0,200,0,0
49,-338,0,239,0,0
50,-265,0,166,0,0
51,-220,0,121,0,0
52,-269,0,170,0,0
53,-250,0,250,0,0
54,-157,0,58,0,0
55,-319,0,220,0,0
56,-300,0,201,0,0
57,-250,0,250,0,0
58,-112,0,13,0,0
59,-112,0,13,0,0
60,-128,0,29,0,0
61,-250,0,250,0,0
62,-114,0,15,0,0
63,-148,0,49,0,0
64,-143,0,44,0,0
65,-260,0,161,0,0
66,-240,0,141,0,0
67,-219,0,120,0,0
68,-250,0,250,0,0
69,-104,0,5,0,0
70,-250,0,250,0,0
71,-129,0,30,0,0
72,-185,0,86,0,0
73,-259,0,160,0,0
74,-110,0,11,0,0
75,-229,0,130,0,0
76,-259,0,160,0,0
77,-250,0,250,0,0
78,-275,0,176,0,0
79,-176,0,77,0,0
80,-198,0,99,0,0
81,-250,0,250,0,0
82,-146,0,47,0,0
83,-235,0,136,0,0
84,-203,0,104,0,0
85,-128,0,29,0,0
86,-142,0,43,0,0
87,-138,0,39,0,0
88,-108,0,9,0,0
89,-197,0,98,0,0
90,-110,0,11,0,0
91,-141,0,42,0,0
92,-124,0,25,0,0
93,-279,0,180,0,0
94,-226,0,127,0,0
95,-143,0,44,0,0
96,-241,0,142,0,0
97,-229,0,130,0,0
98,-218,0,119,0,0
99,-214,0,115,0,0
100,-296,0,197,0,0
101,-250,0,250,0,0
102,-250,0,250,0,0
103,-243,0,144,0,0
104,-339,0,240,0,0
105,-198,0,99,0,0
106,-124,0,25,0,0
107,-250,0,250,0,0
108,-250,0,250,0,0
109,-219,0,120,0,0
110,-250,0,250,0,0
111,-250,0,250,0,0
112,-229,0,130,0,0
113,-250,0,250,0,0
114,-270,0,171,0,0
115,-315,0,216,0,0
116,-109,0,10,0,0
117,-250,0,250,0,0
118,-250,0,250,0,0
119,-250,0,250,0,0
120,-250,0,250,0,0
121,-274,0,175,0,0
122,-127,0,28,0,0
123,-214,0,115,0,0
124,-176,0,77,0,0
125,-167,0,68,0,0
126,-135,0,36,0,0
127,-116,0,17,0,0
128,-281,0,182,0,0
129,-152,0,53,0,0
130,-156,0,57,0,0
131,-250,0,250,0,0
132,-210,0,111,0,0
133,-343,0,244,0,0
134,-250,0,250,0,0
135,-177,0,78,0,0
136,-250,0,250,0,0
137,-250,0,250,0,0
138,-250,0,250,0,0
139,-250,0,250,0,0
140,-250,0,250,0,0
141,-261,0,162,0,0
142,-250,0,250,0,0
143,-247,0,148,0,0
144,-181,0,82,0,0
145,-308,0,209,0,0
146,-335,0,236,0,0
147,-224,0,125,0,0
148,-250,0,250,0,0
149,-186,0,87,0,0
150,-250,0,250,0,0
151,-113,0,14,0,0
152,-161,0,62,0,0
153,-111,0,12,0,0
154,-250,0,250,0,0
155,-329,0,230,0,0
156,-250,0,250,0,0
157,-324,0,225,0,0
158,-163,0,64,0,0
159,-250,0,250,0,0
160,-191,0,92,0,0
161,-139,0,40,0,0
162,-182,0,83,0,0
163,-163,0,64,0,0
164,-218,0,119,0,0
165,-253,0,154,0,0
166,-248,0,149,0,0
167,-288,0,189,0,0
168,-250,0,250,0,0
169,-250,0,250,0,0
170,-119,0,20,0,0
171,-137,0,38,0,0
172,-250,0,250,0,0
173,-181,0,82,0,0
174,-319,0,220,0,0
175,-250,0,250,0,0
176,-302,0,203,0,0
177,-231,0,132,0,0
178,-137,0,38,0,0
179,-277,0,178,0,0
180,251,1,250,0,0
181,-250,0,250,0,0
182,-177,0,78,0,0
183,-205,0,106,0,0
184,-253,0,154,0,0
185,-243,0,144,0,0
186,-165,0,66,0,0
187,-160,0,61,0,0
188,-323,0,224,0,0
189,-162,0,63,0,0
190,-250,0,250,0,0
191,-248,0,149,0,0
192,-179,0,80,0,0
193,-168,0,69,0,0
194,-206,0,107,0,0
195,-250,0,250,0,0
196,-250,0,250,0,0
197,-219,0,120,0,0
198,-250,0,250,0,0
199,-160,0,61,0,0
200,-183,0,84,0,0
201,-190,0,91,0,0
202,-250,0,250,0,0
203,-135,0,36,0,0
204,-161,0,62,0,0
205,-147,0,48,0,0
206,-336,0,237,0,0
207,-206,0,107,0,0
208,-250,0,250,0,0
209,-270,0,171,0,0
210,-141,0,42,0,0
211,-152,0,53,0,0
212,-212,0,113,0,0
213,-161,0,62,0,0
214,-204,0,105,0,0
215,-177,0,78,0,0
216,-118,0,19,0,0
217,-141,0,42,0,0
218,-310,0,211,0,0
219,-238,0,139,0,0
220,-212,0,113,0,0
221,-271,0,172,0,0
222,-113,0,14,0,0
223,-173,0,74,0,0
224,-158,0,59,0,0
225,-135,0,36,0,0
226,-250,0,250,0,0
227,-250,0,250,0,0
228,-183,0,84,0,0
229,-234,0,135,0,0
230,-250,0,250,0,0
231,-166,0,67,0,0
232,-286,0,187,0,0
233,-338,0,239,0,0
234,-271,0,172,0,0
235,-294,0,195,0,0
236,-333,0,234,0,0
237,-145,0,46,0,0
238,-148,0,49,0,0
239,-146,0,47,0,0
240,-244,0,145,0,0
241,-113,0,14,0,0
242,-325,0,226,0,0
243,-119,0,20,0,0
244,-250,0,250,0,0
245,-250,0,250,0,0
246,-109,0,10,0,0
247,-250,0,250,0,0
248,-250,0,250,0,0
249,-111,0,12,0,0
250,-250,0,250,0,0
251,-172,0,73,0,0
252,-313,0,214,0,0
253,-154,0,55,0,0
254,-133,0,34,0,0
255,-250,0,250,0,0
256,-158,0,59,0,0
257,-194,0,95,0,0
258,-143,0,44,0,0
259,-250,0,250,0,0
260,-304,0,205,0,0
261,-193,0,94,0,0
262,-250,0,250,0,0
263,-111,0,12,0,0
264,-250,0,250,0,0
265,-332,0,233,0,0
266,-196,0,97,0,0
267,-276,0,177,0,0
268,-250,0,250,0,0
269,-124,0,25,0,0
270,-159,0,60,0,0
271,-132,0,33,0,0
272,-239,0,140,0,0
273,-135,0,36,0,0
274,-272,0,173,0,0
275,-220,0,121,0,0
276,-237,0,138,0,0
277,-157,0,58,0,0
278,-172,0,73,0,0
279,-250,0,250,0,0
280,-285,0,186,0,0
281,-250,0,250,0,0
282,-239,0,140,0,0
283,-250,0,250,0,0
284,-250,0,250,0,0
285,-143,0,44,0,0
286,-233,0,134,0,0
287,-115,0,16,0,0
288,-197,0,98,0,0
289,-323,0,224,0,0
290,-108,0,9,0,0
291,-250,0,250,0,0
292,-253,0,154,0,0
293,-197,0,98,0,0
294,-136,0,37,0,0
295,-202,0,103,0,0
296,-250,0,151,0,0
297,-250,0,250,0,0
298,-238,0,139,0,0
299,-138,0,39,0,0
300,-166,0,67,0,0
301,-252,0,153,0,0
302,-227,0,128,0,0
303,-250,0,250,0,0
304,-250,0,250,0,0
305,-250,0,250,0,0
306,-250,0,250,0,0
307,-175,0,76,0,0
308,-231,0,132,0,0
309,-114,0,15,0,0
310,-145,0,46,0,0
311,-145,0,46,0,0
312,-190,0,91,0,0
313,-173,0,74,0,0
314,-170,0,71,0,0
315,-219,0,120,0,0
316,-250,0,250,0,0
317,-265,0,166,0,0
318,-204,0,105,0,0
319,-250,0,250,0,0
320,-132,0,33,0,0
321,-107,0,8,0,0
322,-142,0,43,0,0
323,-190,0,91,0,0
324,-300,0,201,0,0
325,-189,0,90,0,0
326,-250,0,250,0,0
327,-217,0,118,0,0
328,-282,0,183,0,0
329,-191,0,92,0,0
330,-219,0,120,0,0
331,-250,0,250,0,0
