episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-122,0,23,0,0
1,-293,0,194,0,0
2,-250,0,250,0,0
3,-184,0,85,0,0
4,-293,0,194,0,0
5,-221,0,122,0,0
6,-146,0,47,0,0
7,-118,0,19,0,0
8,-194,0,95,0,0
9,-206,0,107,0,0
10,-152,0,53,0,0
11,-189,0,90,0,0
12,-250,0,250,0,0
13,-131,0,32,0,0
14,-119,0,20,0,0
15,-118,0,19,0,0
16,-227,0,128,0,0
17,-165,0,66,0,0
18,-187,0,88,0,0
19,-250,0,250,0,0
20,-269,0,170,0,0
21,-148,0,49,0,0
22,-163,0,64,0,0
23,-250,0,250,0,0
24,-308,0,209,0,0
25,-270,0,171,0,0
26,-250,0,250,0,0
27,-222,0,123,0,0
28,-250,0,250,0,0
29,-250,0,250,0,0
30,-250,0,250,0,0
31,-349,0,250,0,0
32,-223,0,124,0,0
33,-110,0,11,0,0
34,-250,0,250,0,0
35,-342,0,243,0,0
36,-250,0,250,0,0
37,-250,0,250,0,0
38,-250,0,250,0,0
39,-215,0,116,0,0
40,-155,0,56,0,0
41,-168,0,69,0,0
42,-250,0,250,0,0
43,-250,0,250,0,0
44,-250,0,250,0,0
45,-128,0,29,0,0
46,-239,0,140,0,0
47,-250,0,250,0,0
48,-202,0,103,0,0
49,-235,0,136,0,0
50,-275,0,176,0,0
51,-136,0,37,0,0
52,-151,0,52,0,0
53,-270,0,171,0,0
54,-250,0,250,0,0
55,-262,0,163,0,0
56,-294,0,195,0,0
57,-254,0,155,0,0
58,-181,0,82,0,0
59,-203,0,104,0,0
60,-121,0,22,0,0
61,-122,0,23,0,0
62,-304,0,205,0,0
63,-188,0,89,0,0
64,-241,0,142,0,0
65,-250,0,250,0,0
66,-160,0,61,0,0
67,-294,0,195,0,0
68,-153,0,54,0,0
69,-138,0,39,0,0
70,-120,0,21,0,0
71,-249,0,150,0,0
72,-250,0,250,0,0
73,-225,0,126,0,0
74,-171,0,72,0,0
75,-148,0,49,0,0
76,-109,0,10,0,0
77,-250,0,250,0,0
78,-250,0,250,0,0
79,-216,0,117,0,0
80,-264,0,165,0,0
81,-250,0,250,0,0
82,-250,0,250,0,0
83,-332,0,233,0,0
84,-180,0,81,0,0
85,-250,0,250,0,0
86,-250,0,250,0,0
87,-172,0,73,0,0
88,-250,0,151,0,0
89,-293,0,194,0,0
90,-250,0,250,0,0
91,-129,0,30,0,0
92,-109,0,10,0,0
93,-143,0,44,0,0
94,-139,0,40,0,0
95,-234,0,135,0,0
96,-109,0,10,0,0
97,-250,0,250,0,0
98,-133,0,34,0,0
99,-250,0,250,0,0
100,-253,0,154,0,0
101,-195,0,96,0,0
102,-348,0,249,0,0
103,-132,0,33,0,0
104,-265,0,166,0,0
105,-109,0,10,0,0
106,-341,0,242,0,0
107,-292,0,193,0,0
108,-250,0,250,0,0
109,-158,0,59,0,0
110,-163,0,64,0,0
111,-307,0,208,0,0
112,-198,0,99,0,0
113,-250,0,250,0,0
114,-302,0,203,0,0
115,-214,0,115,0,0
116,-285,0,186,0,0
117,-250,0,250,0,0
118,-267,0,168,0,0
119,-250,0,250,0,0
120,-151,0,52,0,0
121,-223,0,124,0,0
122,-250,0,250,0,0
123,-250,0,250,0,0
124,-250,0,250,0,0
125,-221,0,122,0,0
126,-257,0,158,0,0
127,-245,0,146,0,0
128,-315,0,216,0,0
129,-250,0,250,0,0
130,-174,0,75,0,0
131,-173,0,74,0,0
132,-144,0,45,0,0
133,-225,0,126,0,0
134,-250,0,250,0,0
135,-112,0,13,0,0
136,-181,0,82,0,0
137,-227,0,128,0,0
138,-250,0,250,0,0
139,-136,0,37,0,0
140,-170,0,71,0,0
141,-254,0,155,0,0
142,-250,0,250,0,0
143,-129,0,30,0,0
144,-250,0,250,0,0
145,-297,0,198,0,0
146,-323,0,224,0,0
147,-327,0,228,0,0
148,-250,0,250,0,0
149,-184,0,85,0,0
150,-262,0,163,0,0
151,-250,0,250,0,0
152,-250,0,250,0,0
153,-257,0,158,0,0
154,-124,0,25,0,0
155,-250,0,250,0,0
156,-250,0,250,0,0
157,-250,0,250,0,0
158,-253,0,154,0,0
159,-210,0,111,0,0
160,-250,0,250,0,0
161,-112,0,13,0,0
162,-122,0,23,0,0
163,-280,0,181,0,0
164,-111,0,12,0,0
165,-123,0,24,0,0
166,-250,0,250,0,0
167,-253,0,154,0,0
168,-137,0,38,0,0
169,-211,0,112,0,0
170,-292,0,193,0,0
