episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-187,0,88,0,0
1,-226,0,127,0,0
2,-321,0,222,0,0
3,-138,0,39,0,0
4,-250,0,250,0,0
5,-250,0,250,0,0
6,-219,0,120,0,0
7,-208,0,109,0,0
8,-249,0,150,0,0
9,-108,0,9,0,0
10,-250,0,250,0,0
11,-250,0,250,0,0
12,-139,0,40,0,0
13,-232,0,133,0,0
14,-272,0,173,0,0
15,-257,0,158,0,0
16,-138,0,39,0,0
17,-209,0,110,0,0
18,-250,0,250,0,0
19,-125,0,26,0,0
20,-196,0,97,0,0
21,-250,0,250,0,0
22,-170,0,71,0,0
23,-289,0,190,0,0
24,-250,0,250,0,0
25,-329,0,230,0,0
26,-206,0,107,0,0
27,-250,0,250,0,0
28,-153,0,54,0,0
29,-250,0,250,0,0
30,-250,0,250,0,0
31,-167,0,68,0,0
32,-160,0,61,0,0
33,-288,0,189,0,0
34,-346,0,247,0,0
35,-112,0,13,0,0
36,-250,0,250,0,0
37,-250,0,250,0,0
38,-213,0,114,0,0
39,-250,0,250,0,0
40,-270,0,171,0,0
41,-152,0,53,0,0
42,-250,0,250,0,0
43,-234,0,135,0,0
44,-109,0,10,0,0
45,-293,0,194,0,0
46,-142,0,43,0,0
47,-177,0,78,0,0
48,-250,0,250,0,0
49,-298,0,199,0,0
50,-202,0,103,0,0
51,-241,0,142,0,0
52,-118,0,19,0,0
53,-300,0,201,0,0
54,-166,0,67,0,0
55,-250,0,250,0,0
56,-197,0,98,0,0
57,-281,0,182,0,0
58,-162,0,63,0,0
59,-205,0,106,0,0
60,-144,0,45,0,0
61,-262,0,163,0,0
62,-116,0,17,0,0
63,-195,0,96,0,0
64,-182,0,83,0,0
65,-250,0,250,0,0
66,-197,0,98,0,0
67,-171,0,72,0,0
68,-250,0,250,0,0
69,-185,0,86,0,0
70,-324,0,225,0,0
71,-250,0,250,0,0
72,-250,0,250,0,0
73,-107,0,8,0,0
74,-250,0,250,0,0
75,-347,0,248,0,0
76,-199,0,100,0,0
77,-103,0,4,0,0
78,-125,0,26,0,0
79,-124,0,25,0,0
80,-139,0,40,0,0
81,-129,0,30,0,0
82,-199,0,100,0,0
83,-203,0,104,0,0
84,-107,0,8,0,0
85,-142,0,43,0,0
86,-234,0,135,0,0
87,-161,0,62,0,0
88,-339,0,240,0,0
89,-138,0,39,0,0
90,-250,0,250,0,0
91,-250,0,250,0,0
92,-250,0,250,0,0
93,-161,0,62,0,0
94,-190,0,91,0,0
95,-245,0,146,0,0
96,-292,0,193,0,0
97,-281,0,182,0,0
98,-204,0,105,0,0
99,-250,0,250,0,0
100,-282,0,183,0,0
101,-181,0,82,0,0
102,-182,0,83,0,0
103,-109,0,10,0,0
104,-285,0,186,0,0
105,-250,0,250,0,0
106,-143,0,44,0,0
107,-320,0,221,0,0
108,-250,0,250,0,0
109,-226,0,127,0,0
110,-127,0,28,0,0
111,-136,0,37,0,0
112,-250,0,250,0,0
113,-250,0,250,0,0
114,-152,0,53,0,0
115,-323,0,224,0,0
116,-163,0,64,0,0
117,-119,0,20,0,0
118,-250,0,250,0,0
119,-250,0,250,0,0
120,-250,0,250,0,0
121,-142,0,43,0,0
122,-221,0,122,0,0
123,-268,0,169,0,0
124,-150,0,51,0,0
125,-250,0,250,0,0
126,-144,0,45,0,0
127,-246,0,147,0,0
128,-250,0,250,0,0
129,-246,0,147,0,0
130,-220,0,121,0,0
131,-155,0,56,0,0
132,-157,0,58,0,0
133,-149,0,50,0,0
134,-250,0,250,0,0
135,-105,0,6,0,0
136,-216,0,117,0,0
137,-250,0,250,0,0
138,-114,0,15,0,0
139,-276,0,177,0,0
140,-143,0,44,0,0
141,-165,0,66,0,0
142,-135,0,36,0,0
143,-292,0,193,0,0
144,-250,0,250,0,0
145,-250,0,250,0,0
146,-114,0,15,0,0
147,-250,0,250,0,0
148,-250,0,250,0,0
149,-117,0,18,0,0
150,-230,0,131,0,0
151,-225,0,126,0,0
152,-175,0,76,0,0
153,-250,0,250,0,0
154,-146,0,47,0,0
155,-337,0,238,0,0
156,-250,0,250,0,0
157,-150,0,51,0,0
158,-235,0,136,0,0
159,-250,0,250,0,0
160,-244,0,145,0,0
161,-301,0,202,0,0
162,-197,0,98,0,0
163,-250,0,250,0,0
164,-235,0,136,0,0
165,-113,0,14,0,0
166,-105,0,6,0,0
167,-250,0,250,0,0
168,-296,0,197,0,0
169,-122,0,23,0,0
170,-182,0,83,0,0
171,-250,0,250,0,0
172,-327,0,228,0,0
173,-318,0,219,0,0
174,-129,0,30,0,0
175,-340,0,241,0,0
176,-226,0,127,0,0
177,-221,0,122,0,0
178,-180,0,81,0,0
179,-154,0,55,0,0
180,-112,0,13,0,0
181,-264,0,165,0,0
182,-257,0,158,0,0
183,-233,0,134,0,0
184,-244,0,145,0,0
185,-251,0,152,0,0
186,-153,0,54,0,0
187,-175,0,76,0,0
188,-211,0,112,0,0
189,-235,0,136,0,0
190,-150,0,51,0,0
191,-151,0,52,0,0
192,-126,0,27,0,0
193,-192,0,93,0,0
194,-115,0,16,0,0
195,-129,0,30,0,0
196,-250,0,250,0,0
197,-250,0,250,0,0
198,-174,0,75,0,0
199,-124,0,25,0,0
200,-103,0,4,0,0
201,-250,0,250,0,0
202,-211,0,112,0,0
203,-229,0,130,0,0
204,-259,0,160,0,0
205,-250,0,250,0,0
206,-250,0,250,0,0
207,-136,0,37,0,0
208,-197,0,98,0,0
209,-196,0,97,0,0
210,-169,0,70,0,0
211,-211,0,112,0,0
212,-289,0,190,0,0
213,-250,0,250,0,0
214,-156,0,57,0,0
215,-173,0,74,0,0
216,-250,0,250,0,0
217,-146,0,47,0,0
218,-250,0,250,0,0
219,-128,0,29,0,0
220,-194,0,95,0,0
221,-282,0,183,0,0
222,-325,0,226,0,0
223,-251,0,152,0,0
224,-250,0,250,0,0
225,-288,0,189,0,0
226,-176,0,77,0,0
227,-258,0,159,0,0
228,-279,0,180,0,0
229,-343,0,244,0,0
230,-203,0,104,0,0
231,-250,0,250,0,0
232,-250,0,250,0,0
233,-118,0,19,0,0
234,-250,0,250,0,0
235,-118,0,19,0,0
236,-250,0,250,0,0
237,-250,0,250,0,0
238,-250,0,250,0,0
239,-150,0,51,0,0
240,-250,0,250,0,0
241,-137,0,38,0,0
242,-250,0,250,0,0
243,-300,0,201,0,0
244,-189,0,90,0,0
245,-280,0,181,0,0
246,-224,0,125,0,0
247,-275,0,176,0,0
248,-184,0,85,0,0
249,-227,0,128,0,0
250,-305,0,206,0,0
251,-137,0,38,0,0
252,-250,0,250,0,0
253,-250,0,250,0,0
254,-347,0,248,0,0
255,-104,0,5,0,0
256,-218,0,119,0,0
257,-304,0,205,0,0
258,-220,0,121,0,0
259,-164,0,65,0,0
260,-123,0,24,0,0
261,-250,0,250,0,0
262,-250,0,250,0,0
263,-330,0,231,0,0
264,-177,0,78,0,0
265,-106,0,7,0,0
266,-250,0,250,0,0
267,-138,0,39,0,0
268,-250,0,250,0,0
269,-111,0,12,0,0
270,-309,0,210,0,0
271,-202,0,103,0,0
272,-250,0,250,0,0
273,-250,0,250,0,0
274,-232,0,133,0,0
275,-334,0,235,0,0
276,-250,0,250,0,0
277,-237,0,138,0,0
278,-154,0,55,0,0
279,-120,0,21,0,0
280,-250,0,250,0,0
281,-180,0,81,0,0
282,-155,0,56,0,0
283,-250,0,250,0,0
284,-122,0,23,0,0
285,-248,0,149,0,0
286,-299,0,200,0,0
287,-107,0,8,0,0
288,-207,0,108,0,0
289,-325,0,226,0,0
290,-190,0,91,0,0
291,-250,0,250,0,0
292,-118,0,19,0,0
293,-273,0,174,0,0
294,-151,0,52,0,0
295,-167,0,68,0,0
296,-250,0,250,0,0
297,-250,0,250,0,0
298,-192,0,93,0,0
299,-132,0,33,0,0
300,-118,0,19,0,0
301,-289,0,190,0,0
302,-140,0,41,0,0
303,-210,0,111,0,0
304,-317,0,218,0,0
305,-148,0,49,0,0
306,-250,0,250,0,0
307,-286,0,187,0,0
308,-250,0,250,0,0
309,-267,0,168,0,0
310,-243,0,144,0,0
311,-119,0,20,0,0
312,-233,0,134,0,0
313,-180,0,81,0,0
314,-250,0,250,0,0
315,-346,0,247,0,0
316,-150,0,51,0,0
317,-116,0,17,0,0
318,-114,0,15,0,0
319,-292,0,193,0,0
320,-303,0,204,0,0
321,-166,0,67,0,0
322,-139,0,40,0,0
323,-334,0,235,0,0
324,-228,0,129,0,0
325,-250,0,250,0,0
326,-250,0,250,0,0
327,-303,0,204,0,0
328,-151,0,52,0,0
329,-136,0,37,0,0
330,-342,0,243,0,0
331,-249,0,150,0,0
332,-338,0,239,0,0
333,-141,0,42,0,0
334,-292,0,193,0,0
335,-250,0,250,0,0
336,-250,0,250,0,0
337,-250,0,250,0,0
338,-119,0,20,0,0
339,-150,0,51,0,0
340,-250,0,151,0,0
341,-228,0,129,0,0
342,-250,0,250,0,0
343,-250,0,250,0,0
344,-150,0,51,0,0
345,-156,0,57,0,0
346,-142,0,43,0,0
347,-303,0,204,0,0
348,-221,0,122,0,0
349,-133,0,34,0,0
350,-181,0,82,0,0
351,-250,0,250,0,0
352,-206,0,107,0,0
353,-140,0,41,0,0
354,-250,0,250,0,0
355,-130,0,31,0,0
356,-250,0,250,0,0
357,-156,0,57,0,0
358,-206,0,107,0,0
359,-140,0,41,0,0
