episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-208,0,109,0,0
1,-163,0,64,0,0
2,-173,0,74,0,0
3,-262,0,163,0,0
4,-250,0,250,0,0
5,-311,0,212,0,0
6,-170,0,71,0,0
7,-290,0,191,0,0
8,-109,0,10,0,0
9,-198,0,99,0,0
10,-241,0,142,0,0
11,-275,0,176,0,0
12,-250,0,250,0,0
13,-196,0,97,0,0
14,-116,0,17,0,0
15,-126,0,27,0,0
16,-144,0,45,0,0
17,-211,0,112,0,0
18,-231,0,132,0,0
19,-131,0,32,0,0
20,-250,0,250,0,0
21,-200,0,101,0,0
22,-151,0,52,0,0
23,-250,0,250,0,0
24,-162,0,63,0,0
25,-240,0,141,0,0
26,-250,0,250,0,0
27,-250,0,250,0,0
28,-134,0,35,0,0
29,-314,0,215,0,0
30,-330,0,231,0,0
31,-264,0,165,0,0
32,-217,0,118,0,0
33,-267,0,168,0,0
34,-253,0,154,0,0
35,-250,0,250,0,0
36,-114,0,15,0,0
37,-231,0,132,0,0
38,-245,0,146,0,0
39,-154,0,55,0,0
40,-142,0,43,0,0
41,-250,0,250,0,0
42,-251,0,152,0,0
43,-264,0,165,0,0
44,-153,0,54,0,0
45,-328,0,229,0,0
46,-139,0,40,0,0
47,-260,0,161,0,0
48,-279,0,180,0,0
49,-270,0,171,0,0
50,-335,0,236,0,0
51,-250,0,250,0,0
52,-250,0,250,0,0
53,-211,0,112,0,0
54,-327,0,228,0,0
55,-204,0,105,0,0
56,-119,0,20,0,0
57,-146,0,47,0,0
58,-250,0,250,0,0
59,-189,0,90,0,0
60,-341,0,242,0,0
61,-176,0,77,0,0
62,-250,0,250,0,0
63,-194,0,95,0,0
64,-250,0,250,0,0
65,-142,0,43,0,0
66,-250,0,250,0,0
67,-176,0,77,0,0
68,-105,0,6,0,0
69,-250,0,250,0,0
70,-255,0,156,0,0
71,-260,0,161,0,0
72,-250,0,250,0,0
73,-250,0,250,0,0
74,-161,0,62,0,0
75,-148,0,49,0,0
76,-333,0,234,0,0
77,-220,0,121,0,0
78,-250,0,250,0,0
79,-132,0,33,0,0
80,-271,0,172,0,0
81,-179,0,80,0,0
82,-250,0,250,0,0
83,-250,0,250,0,0
84,-215,0,116,0,0
85,-322,0,223,0,0
86,-250,0,250,0,0
87,-248,0,149,0,0
88,-195,0,96,0,0
89,-250,0,250,0,0
90,-250,0,250,0,0
91,-318,0,219,0,0
92,-321,0,222,0,0
93,-234,0,135,0,0
94,-250,0,250,0,0
95,-250,0,250,0,0
96,-250,0,250,0,0
97,-293,0,194,0,0
98,-277,0,178,0,0
99,-216,0,117,0,0
100,-250,0,250,0,0
101,-241,0,142,0,0
102,-259,0,160,0,0
103,-176,0,77,0,0
104,-200,0,101,0,0
105,-184,0,85,0,0
106,-138,0,39,0,0
107,-105,0,6,0,0
108,-250,0,250,0,0
109,-250,0,250,0,0
110,-141,0,42,0,0
111,-124,0,25,0,0
112,-250,0,250,0,0
113,-255,0,156,0,0
114,-112,0,13,0,0
115,-137,0,38,0,0
116,-293,0,194,0,0
117,-250,0,250,0,0
118,-134,0,35,0,0
119,-206,0,107,0,0
120,-250,0,250,0,0
121,-250,0,250,0,0
122,-250,0,250,0,0
123,-250,0,250,0,0
124,-250,0,250,0,0
125,-341,0,242,0,0
126,-257,0,158,0,0
127,-250,0,250,0,0
128,-345,0,246,0,0
129,-301,0,202,0,0
130,-147,0,48,0,0
131,-250,0,151,0,0
132,-139,0,40,0,0
133,-186,0,87,0,0
134,-204,0,105,0,0
135,-158,0,59,0,0
136,-250,0,250,0,0
137,176,1,226,0,0
138,-250,0,250,0,0
139,-144,0,45,0,0
140,-107,0,8,0,0
141,-311,0,212,0,0
142,-106,0,7,0,0
143,-107,0,8,0,0
144,-250,0,250,0,0
145,-250,0,250,0,0
146,-250,0,250,0,0
147,-313,0,214,0,0
148,-214,0,115,0,0
149,-250,0,250,0,0
150,-250,0,250,0,0
151,-289,0,190,0,0
152,-250,0,250,0,0
153,-191,0,92,0,0
154,-118,0,19,0,0
155,-158,0,59,0,0
156,-166,0,67,0,0
157,-130,0,31,0,0
158,-148,0,49,0,0
159,-156,0,57,0,0
160,-250,0,250,0,0
161,-250,0,250,0,0
162,-329,0,230,0,0
163,-250,0,250,0,0
164,-121,0,22,0,0
165,-135,0,36,0,0
166,-315,0,216,0,0
167,-182,0,83,0,0
168,-341,0,242,0,0
169,-318,0,219,0,0
170,-150,0,51,0,0
171,-147,0,48,0,0
172,-111,0,12,0,0
173,-297,0,198,0,0
174,-208,0,109,0,0
175,-250,0,250,0,0
176,-118,0,19,0,0
177,-250,0,250,0,0
178,-187,0,88,0,0
179,-107,0,8,0,0
180,-235,0,136,0,0
181,-178,0,79,0,0
182,-186,0,87,0,0
183,-151,0,52,0,0
184,-236,0,137,0,0
185,-250,0,250,0,0
186,-250,0,250,0,0
187,-244,0,145,0,0
188,-250,0,250,0,0
189,-219,0,120,0,0
190,-231,0,132,0,0
191,-296,0,197,0,0
192,-294,0,195,0,0
193,-285,0,186,0,0
