episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-187,0,88,0,0
1,-236,0,137,0,0
2,-186,0,87,0,0
3,-120,0,21,0,0
4,-250,0,250,0,0
5,-209,0,110,0,0
6,-250,0,250,0,0
7,-152,0,53,0,0
8,-239,0,140,0,0
9,-290,0,191,0,0
10,-197,0,98,0,0
11,-187,0,88,0,0
12,-250,0,250,0,0
13,-250,0,250,0,0
14,-199,0,100,0,0
15,-250,0,250,0,0
16,-206,0,107,0,0
17,-250,0,250,0,0
18,-250,0,250,0,0
19,-250,0,250,0,0
20,-250,0,250,0,0
21,-176,0,77,0,0
22,-218,0,119,0,0
23,-250,0,250,0,0
24,-250,0,250,0,0
25,-227,0,128,0,0
26,-250,0,250,0,0
27,-250,0,250,0,0
28,-188,0,89,0,0
29,-238,0,139,0,0
30,-250,0,250,0,0
31,-193,0,94,0,0
32,-230,0,131,0,0
33,-184,0,85,0,0
34,-191,0,92,0,0
35,-217,0,118,0,0
36,-293,0,194,0,0
37,-250,0,250,0,0
38,-124,0,25,0,0
39,-278,0,179,0,0
40,-161,0,62,0,0
41,-250,0,250,0,0
42,-124,0,25,0,0
43,-320,0,221,0,0
44,-177,0,78,0,0
45,-149,0,50,0,0
46,-250,0,250,0,0
47,-224,0,125,0,0
48,-131,0,32,0,0
49,-196,0,97,0,0
50,-198,0,99,0,0
51,-328,0,229,0,0
52,-205,0,106,0,0
53,-293,0,194,0,0
54,-250,0,250,0,0
55,-142,0,43,0,0
56,-243,0,144,0,0
57,-318,0,219,0,0
58,-270,0,171,0,0
59,-143,0,44,0,0
60,-264,0,165,0,0
61,-214,0,115,0,0
62,-294,0,195,0,0
63,-162,0,63,0,0
64,-267,0,168,0,0
65,-177,0,78,0,0
66,-134,0,35,0,0
67,-141,0,42,0,0
68,-250,0,250,0,0
69,-250,0,250,0,0
70,-195,0,96,0,0
71,-277,0,178,0,0
72,-250,0,250,0,0
73,-209,0,110,0,0
74,-284,0,185,0,0
75,-250,0,250,0,0
76,-124,0,25,0,0
77,-160,0,61,0,0
78,-250,0,250,0,0
79,-250,0,250,0,0
80,-133,0,34,0,0
81,-212,0,113,0,0
82,-223,0,124,0,0
83,-250,0,250,0,0
84,-329,0,230,0,0
85,-161,0,62,0,0
86,-250,0,250,0,0
87,-150,0,51,0,0
88,-250,0,250,0,0
89,-236,0,137,0,0
90,-134,0,35,0,0
91,-207,0,108,0,0
92,-313,0,214,0,0
93,-291,0,192,0,0
94,-144,0,45,0,0
95,-205,0,106,0,0
96,-146,0,47,0,0
97,-124,0,25,0,0
98,-196,0,97,0,0
99,-250,0,250,0,0
100,-250,0,250,0,0
101,-239,0,140,0,0
102,-261,0,162,0,0
103,-199,0,100,0,0
104,-250,0,250,0,0
105,-250,0,250,0,0
106,-250,0,250,0,0
107,-250,0,250,0,0
108,-250,0,250,0,0
109,-283,0,184,0,0
110,-303,0,204,0,0
111,-122,0,23,0,0
112,-324,0,225,0,0
113,-187,0,88,0,0
114,-250,0,250,0,0
115,-250,0,250,0,0
116,-179,0,80,0,0
117,-163,0,64,0,0
118,-177,0,78,0,0
119,-288,0,189,0,0
120,-250,0,250,0,0
121,-173,0,74,0,0
122,-250,0,250,0,0
123,-241,0,142,0,0
124,-250,0,250,0,0
125,-250,0,250,0,0
126,-108,0,9,0,0
127,-261,0,162,0,0
128,-178,0,79,0,0
129,-192,0,93,0,0
130,-246,0,147,0,0
131,-250,0,250,0,0
132,-250,0,250,0,0
133,-121,0,22,0,0
134,-122,0,23,0,0
135,-299,0,200,0,0
136,-246,0,147,0,0
137,-173,0,74,0,0
138,-250,0,250,0,0
139,-250,0,250,0,0
140,-224,0,125,0,0
141,-186,0,87,0,0
142,-208,0,109,0,0
143,-250,0,250,0,0
144,-250,0,250,0,0
145,-250,0,250,0,0
146,-152,0,53,0,0
147,-142,0,43,0,0
148,-250,0,250,0,0
149,-153,0,54,0,0
150,-126,0,27,0,0
151,-303,0,204,0,0
152,-250,0,250,0,0
153,-320,0,221,0,0
154,-250,0,250,0,0
155,-250,0,250,0,0
156,-242,0,143,0,0
157,-325,0,226,0,0
158,-320,0,221,0,0
159,-250,0,250,0,0
160,-225,0,126,0,0
161,-250,0,250,0,0
162,-203,0,104,0,0
163,-111,0,12,0,0
164,-122,0,23,0,0
165,-250,0,250,0,0
166,-250,0,250,0,0
167,-114,0,15,0,0
168,-114,0,15,0,0
169,-201,0,102,0,0
170,-250,0,250,0,0
171,-218,0,119,0,0
172,-302,0,203,0,0
173,-250,0,250,0,0
174,-250,0,250,0,0
175,-250,0,250,0,0
176,-250,0,250,0,0
177,-197,0,98,0,0
178,-149,0,50,0,0
179,-210,0,111,0,0
180,-176,0,77,0,0
181,-244,0,145,0,0
182,-250,0,250,0,0
183,-140,0,41,0,0
184,-250,0,250,0,0
185,-150,0,51,0,0
186,-341,0,242,0,0
187,-250,0,250,0,0
188,-288,0,189,0,0
189,-171,0,72,0,0
190,-211,0,112,0,0
191,-107,0,8,0,0
192,-250,0,250,0,0
193,-129,0,30,0,0
194,-115,0,16,0,0
195,-250,0,250,0,0
196,-192,0,93,0,0
197,-250,0,250,0,0
198,-133,0,34,0,0
199,-128,0,29,0,0
200,-168,0,69,0,0
201,-171,0,72,0,0
202,-235,0,136,0,0
203,-254,0,155,0,0
204,-155,0,56,0,0
205,-124,0,25,0,0
206,-140,0,41,0,0
207,-278,0,179,0,0
208,-257,0,158,0,0
209,-250,0,250,0,0
210,-144,0,45,0,0
211,-181,0,82,0,0
212,-141,0,42,0,0
213,-177,0,78,0,0
214,-174,0,75,0,0
215,-262,0,163,0,0
216,-250,0,250,0,0
217,-250,0,250,0,0
218,-188,0,89,0,0
219,-250,0,250,0,0
220,-145,0,46,0,0
221,-129,0,30,0,0
222,-250,0,250,0,0
223,-155,0,56,0,0
224,-255,0,156,0,0
225,-250,0,250,0,0
226,-250,0,250,0,0
227,-118,0,19,0,0
228,-138,0,39,0,0
229,-178,0,79,0,0
230,-304,0,205,0,0
231,-320,0,221,0,0
232,-250,0,250,0,0
233,-324,0,225,0,0
234,-220,0,121,0,0
235,-208,0,109,0,0
236,-255,0,156,0,0
237,-250,0,250,0,0
238,-224,0,125,0,0
