episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-333,0,234,0,0
1,-250,0,250,0,0
2,-250,0,250,0,0
3,-234,0,135,0,0
4,-222,0,123,0,0
5,-119,0,20,0,0
6,-278,0,179,0,0
7,-262,0,163,0,0
8,-250,0,250,0,0
9,-250,0,250,0,0
10,-250,0,250,0,0
11,-131,0,32,0,0
12,-203,0,104,0,0
13,-123,0,24,0,0
14,-216,0,117,0,0
15,-250,0,250,0,0
16,-250,0,250,0,0
17,-252,0,153,0,0
18,-192,0,93,0,0
19,-232,0,133,0,0
20,-250,0,250,0,0
21,-183,0,84,0,0
22,-250,0,250,0,0
23,-190,0,91,0,0
24,-247,0,148,0,0
25,-144,0,45,0,0
26,-259,0,160,0,0
27,-306,0,207,0,0
28,-212,0,113,0,0
29,-143,0,44,0,0
30,-269,0,170,0,0
31,-241,0,142,0,0
32,-250,0,250,0,0
33,-113,0,14,0,0
34,-145,0,46,0,0
35,-162,0,63,0,0
36,-197,0,98,0,0
37,-139,0,40,0,0
38,-214,0,115,0,0
39,-311,0,212,0,0
40,-106,0,7,0,0
41,-138,0,39,0,0
42,-250,0,250,0,0
43,-127,0,28,0,0
44,-154,0,55,0,0
45,-250,0,250,0,0
46,-222,0,123,0,0
47,-207,0,108,0,0
48,-252,0,153,0,0
49,-114,0,15,0,0
50,-250,0,250,0,0
51,-243,0,144,0,0
52,-188,0,89,0,0
53,-104,0,5,0,0
54,-280,0,181,0,0
55,-291,0,192,0,0
56,-250,0,250,0,0
57,-237,0,138,0,0
58,-268,0,169,0,0
59,-164,0,65,0,0
60,-195,0,96,0,0
61,-250,0,250,0,0
62,-104,0,5,0,0
63,-250,0,250,0,0
64,-292,0,193,0,0
65,-250,0,250,0,0
66,-250,0,250,0,0
67,-250,0,250,0,0
68,-250,0,250,0,0
69,-113,0,14,0,0
70,-173,0,74,0,0
71,-250,0,250,0,0
72,-338,0,239,0,0
73,-123,0,24,0,0
74,-250,0,250,0,0
75,-317,0,218,0,0
76,-259,0,160,0,0
77,-108,0,9,0,0
78,-250,0,250,0,0
79,-250,0,250,0,0
80,-340,0,241,0,0
81,-292,0,193,0,0
82,-151,0,52,0,0
83,-250,0,250,0,0
84,-223,0,124,0,0
85,-150,0,51,0,0
86,-166,0,67,0,0
87,-250,0,250,0,0
88,-135,0,36,0,0
89,-250,0,250,0,0
90,-204,0,105,0,0
91,-250,0,250,0,0
92,-250,0,250,0,0
93,-250,0,250,0,0
94,-119,0,20,0,0
95,-250,0,250,0,0
96,-135,0,36,0,0
97,-199,0,100,0,0
98,-260,0,161,0,0
99,-148,0,49,0,0
100,-150,0,51,0,0
101,-250,0,250,0,0
102,-164,0,65,0,0
103,-210,0,111,0,0
104,-161,0,62,0,0
105,-227,0,128,0,0
106,-250,0,250,0,0
107,-240,0,141,0,0
108,-251,0,152,0,0
109,-152,0,53,0,0
110,-163,0,64,0,0
111,-123,0,24,0,0
112,-313,0,214,0,0
113,-250,0,250,0,0
114,-108,0,9,0,0
115,-250,0,250,0,0
116,-250,0,250,0,0
117,-231,0,132,0,0
118,-312,0,213,0,0
119,-290,0,191,0,0
120,-122,0,23,0,0
121,-191,0,92,0,0
122,-177,0,78,0,0
123,-315,0,216,0,0
124,-250,0,250,0,0
125,-134,0,35,0,0
126,-117,0,18,0,0
127,-250,0,250,0,0
128,-181,0,82,0,0
129,-160,0,61,0,0
130,-246,0,147,0,0
131,-156,0,57,0,0
132,-152,0,53,0,0
133,-250,0,250,0,0
134,-253,0,154,0,0
135,-225,0,126,0,0
136,-316,0,217,0,0
137,-315,0,216,0,0
138,-124,0,25,0,0
139,-250,0,250,0,0
140,-310,0,211,0,0
141,-250,0,250,0,0
142,-193,0,94,0,0
143,-311,0,212,0,0
144,-250,0,250,0,0
145,-306,0,207,0,0
146,-250,0,250,0,0
147,-270,0,171,0,0
148,-267,0,168,0,0
149,-125,0,26,0,0
150,-202,0,103,0,0
151,-137,0,38,0,0
152,-116,0,17,0,0
153,-189,0,90,0,0
154,-331,0,232,0,0
155,-250,0,250,0,0
156,-250,0,250,0,0
157,-173,0,74,0,0
158,-114,0,15,0,0
159,-147,0,48,0,0
160,-250,0,250,0,0
161,-265,0,166,0,0
162,-145,0,46,0,0
163,-147,0,48,0,0
164,-209,0,110,0,0
165,-166,0,67,0,0
166,-116,0,17,0,0
167,-142,0,43,0,0
168,-173,0,74,0,0
169,-133,0,34,0,0
170,-145,0,46,0,0
171,-253,0,154,0,0
172,-104,0,5,0,0
173,-250,0,250,0,0
174,-180,0,81,0,0
175,-138,0,39,0,0
176,-293,0,194,0,0
177,-152,0,53,0,0
178,-225,0,126,0,0
179,-157,0,58,0,0
180,-136,0,37,0,0
181,-303,0,204,0,0
182,-225,0,126,0,0
183,-133,0,34,0,0
184,-150,0,51,0,0
185,-185,0,86,0,0
186,-250,0,250,0,0
