episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-250,0,250,0,0
1,-121,0,22,0,0
2,-156,0,57,0,0
3,-346,0,247,0,0
4,-250,0,250,0,0
5,-327,0,228,0,0
6,-232,0,133,0,0
7,-155,0,56,0,0
8,-141,0,42,0,0
9,-280,0,181,0,0
10,-282,0,183,0,0
11,-126,0,27,0,0
12,-125,0,26,0,0
13,-109,0,10,0,0
14,-343,0,244,0,0
15,-188,0,89,0,0
16,-250,0,250,0,0
17,-293,0,194,0,0
18,-322,0,223,0,0
19,-220,0,121,0,0
20,-256,0,157,0,0
21,-236,0,137,0,0
22,-153,0,54,0,0
23,-294,0,195,0,0
24,-304,0,205,0,0
25,-104,0,5,0,0
26,-151,0,52,0,0
27,-183,0,84,0,0
28,-124,0,25,0,0
29,-250,0,250,0,0
30,-266,0,167,0,0
31,-258,0,159,0,0
32,-275,0,176,0,0
33,-228,0,129,0,0
34,-158,0,59,0,0
35,-131,0,32,0,0
36,-290,0,191,0,0
37,-250,0,250,0,0
38,-221,0,122,0,0
39,-137,0,38,0,0
40,-288,0,189,0,0
41,-218,0,119,0,0
42,-217,0,118,0,0
43,-157,0,58,0,0
44,-250,0,250,0,0
45,-250,0,250,0,0
46,-250,0,250,0,0
47,-153,0,54,0,0
48,-156,0,57,0,0
49,-309,0,210,0,0
50,-250,0,250,0,0
51,-130,0,31,0,0
52,-159,0,60,0,0
53,-118,0,19,0,0
54,-250,0,250,0,0
55,-276,0,177,0,0
56,-250,0,250,0,0
57,-295,0,196,0,0
58,-222,0,123,0,0
59,-271,0,172,0,0
60,-297,0,198,0,0
61,-120,0,21,0,0
62,-250,0,250,0,0
63,-162,0,63,0,0
64,-243,0,144,0,0
65,-147,0,48,0,0
66,-128,0,29,0,0
67,-250,0,250,0,0
68,-125,0,26,0,0
69,-261,0,162,0,0
70,-333,0,234,0,0
71,-268,0,169,0,0
72,-199,0,100,0,0
73,-129,0,30,0,0
74,-250,0,250,0,0
75,-150,0,51,0,0
76,-250,0,250,0,0
77,-235,0,136,0,0
78,-193,0,94,0,0
79,-129,0,30,0,0
80,-134,0,35,0,0
81,-250,0,250,0,0
82,-109,0,10,0,0
83,-247,0,148,0,0
84,-135,0,36,0,0
85,-250,0,250,0,0
86,-185,0,86,0,0
87,-161,0,62,0,0
88,-234,0,135,0,0
89,-250,0,250,0,0
90,-250,0,250,0,0
91,-161,0,62,0,0
92,-250,0,250,0,0
93,-120,0,21,0,0
94,-250,0,250,0,0
95,-223,0,124,0,0
96,-245,0,146,0,0
97,-200,0,101,0,0
98,-159,0,60,0,0
99,-134,0,35,0,0
100,-215,0,116,0,0
101,-250,0,250,0,0
102,-290,0,191,0,0
103,-250,0,250,0,0
104,-112,0,13,0,0
105,-155,0,56,0,0
106,-316,0,217,0,0
107,-211,0,112,0,0
108,-250,0,250,0,0
109,-120,0,21,0,0
110,-184,0,85,0,0
