episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-111,0,12,0,0
1,-302,0,203,0,0
2,-189,0,90,0,0
3,-268,0,169,0,0
4,-131,0,32,0,0
5,-250,0,250,0,0
6,-265,0,166,0,0
7,-188,0,89,0,0
8,-225,0,126,0,0
9,-250,0,151,0,0
10,-250,0,250,0,0
11,-194,0,95,0,0
12,-256,0,157,0,0
13,-188,0,89,0,0
14,-318,0,219,0,0
15,-218,0,119,0,0
16,-304,0,205,0,0
17,-120,0,21,0,0
18,-250,0,250,0,0
19,-125,0,26,0,0
20,-269,0,170,0,0
21,-186,0,87,0,0
22,-186,0,87,0,0
23,-313,0,214,0,0
24,-146,0,47,0,0
25,-233,0,134,0,0
26,-174,0,75,0,0
27,-250,0,250,0,0
28,-250,0,250,0,0
29,-161,0,62,0,0
30,-209,0,110,0,0
31,-168,0,69,0,0
32,-267,0,168,0,0
33,-250,0,250,0,0
34,-109,0,10,0,0
35,-205,0,106,0,0
36,-250,0,250,0,0
37,-170,0,71,0,0
38,-140,0,41,0,0
39,-171,0,72,0,0
40,-171,0,72,0,0
41,-214,0,115,0,0
42,-311,0,212,0,0
43,-323,0,224,0,0
44,-250,0,250,0,0
45,-277,0,178,0,0
46,-316,0,217,0,0
47,-131,0,32,0,0
48,-250,0,250,0,0
49,-203,0,104,0,0
50,-243,0,144,0,0
51,-115,0,16,0,0
52,-249,0,150,0,0
53,-204,0,105,0,0
54,-250,0,250,0,0
55,-186,0,87,0,0
56,-152,0,53,0,0
57,-274,0,175,0,0
58,-250,0,250,0,0
59,-218,0,119,0,0
60,-228,0,129,0,0
61,-250,0,250,0,0
62,-321,0,222,0,0
63,-138,0,39,0,0
64,-250,0,250,0,0
65,-150,0,51,0,0
66,-181,0,82,0,0
67,-250,0,250,0,0
68,-267,0,168,0,0
69,-118,0,19,0,0
70,-250,0,250,0,0
71,-242,0,143,0,0
72,-214,0,115,0,0
73,-238,0,139,0,0
74,-110,0,11,0,0
75,-250,0,250,0,0
76,-122,0,23,0,0
77,-186,0,87,0,0
78,-125,0,26,0,0
79,-260,0,161,0,0
80,-201,0,102,0,0
81,-132,0,33,0,0
82,-196,0,97,0,0
83,-161,0,62,0,0
84,-250,0,250,0,0
85,-119,0,20,0,0
86,-145,0,46,0,0
87,-275,0,176,0,0
88,-190,0,91,0,0
89,-133,0,34,0,0
90,-250,0,250,0,0
91,-250,0,250,0,0
92,-277,0,178,0,0
93,-221,0,122,0,0
94,-159,0,60,0,0
95,-158,0,59,0,0
96,-250,0,250,0,0
97,-219,0,120,0,0
98,-157,0,58,0,0
99,-127,0,28,0,0
100,-291,0,192,0,0
101,-146,0,47,0,0
102,-213,0,114,0,0
103,-148,0,49,0,0
104,-213,0,114,0,0
105,-250,0,250,0,0
106,-250,0,250,0,0
107,-235,0,136,0,0
108,-250,0,250,0,0
109,-131,0,32,0,0
110,-292,0,193,0,0
111,-250,0,250,0,0
112,-274,0,175,0,0
113,-117,0,18,0,0
114,-149,0,50,0,0
115,-120,0,21,0,0
116,-258,0,159,0,0
117,-119,0,20,0,0
118,-250,0,250,0,0
119,-324,0,225,0,0
120,-348,0,249,0,0
121,-158,0,59,0,0
122,-172,0,73,0,0
123,-250,0,250,0,0
124,-250,0,250,0,0
125,-179,0,80,0,0
126,-193,0,94,0,0
127,-218,0,119,0,0
128,-250,0,250,0,0
129,-250,0,250,0,0
130,-250,0,250,0,0
131,-200,0,101,0,0
132,-109,0,10,0,0
133,-292,0,193,0,0
134,-250,0,250,0,0
135,-179,0,80,0,0
136,-274,0,175,0,0
137,-280,0,181,0,0
138,-244,0,145,0,0
139,-250,0,250,0,0
140,-212,0,113,0,0
141,-235,0,136,0,0
142,-336,0,237,0,0
143,-290,0,191,0,0
144,-250,0,250,0,0
145,-211,0,112,0,0
146,-203,0,104,0,0
147,-250,0,250,0,0
