episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-279,0,180,0,0
1,-259,0,160,0,0
2,-172,0,73,0,0
3,-131,0,32,0,0
4,-253,0,154,0,0
5,-321,0,222,0,0
6,-235,0,136,0,0
7,-250,0,250,0,0
8,-211,0,112,0,0
9,-107,0,8,0,0
10,-250,0,250,0,0
11,-180,0,81,0,0
12,-164,0,65,0,0
13,-250,0,250,0,0
14,-308,0,209,0,0
15,-265,0,166,0,0
16,-257,0,158,0,0
17,-261,0,162,0,0
18,-140,0,41,0,0
19,-250,0,250,0,0
20,-198,0,99,0,0
21,-250,0,250,0,0
22,-316,0,217,0,0
23,-215,0,116,0,0
24,-118,0,19,0,0
25,-186,0,87,0,0
26,-334,0,235,0,0
27,-154,0,55,0,0
28,-342,0,243,0,0
29,-151,0,52,0,0
30,-230,0,131,0,0
31,-250,0,250,0,0
32,-147,0,48,0,0
33,-250,0,250,0,0
34,-262,0,163,0,0
35,-133,0,34,0,0
36,-250,0,250,0,0
37,-250,0,250,0,0
38,-239,0,140,0,0
39,-333,0,234,0,0
40,-250,0,250,0,0
41,-275,0,176,0,0
42,-114,0,15,0,0
43,-311,0,212,0,0
44,-326,0,227,0,0
45,-137,0,38,0,0
46,-250,0,250,0,0
47,-141,0,42,0,0
48,-286,0,187,0,0
49,-231,0,132,0,0
50,-250,0,250,0,0
51,-213,0,114,0,0
52,-250,0,250,0,0
53,-199,0,100,0,0
54,-135,0,36,0,0
55,-250,0,250,0,0
56,-108,0,9,0,0
57,-250,0,250,0,0
58,-203,0,104,0,0
59,-257,0,158,0,0
60,-262,0,163,0,0
61,-260,0,161,0,0
62,-250,0,250,0,0
63,-250,0,250,0,0
64,-257,0,158,0,0
65,-160,0,61,0,0
66,-186,0,87,0,0
67,-302,0,203,0,0
68,-138,0,39,0,0
69,-150,0,51,0,0
70,-295,0,196,0,0
71,-228,0,129,0,0
72,-289,0,190,0,0
73,-124,0,25,0,0
74,-156,0,57,0,0
75,-286,0,187,0,0
76,-136,0,37,0,0
77,-112,0,13,0,0
78,-118,0,19,0,0
79,-142,0,43,0,0
80,-253,0,154,0,0
81,-314,0,215,0,0
82,-310,0,211,0,0
83,-115,0,16,0,0
84,-256,0,157,0,0
85,-343,0,244,0,0
86,-196,0,97,0,0
87,-202,0,103,0,0
88,-190,0,91,0,0
89,-220,0,121,0,0
90,-196,0,97,0,0
91,-114,0,15,0,0
92,-136,0,37,0,0
93,-224,0,125,0,0
94,-259,0,160,0,0
95,-197,0,98,0,0
96,-160,0,61,0,0
97,-250,0,250,0,0
98,-124,0,25,0,0
99,-240,0,141,0,0
100,-249,0,150,0,0
101,-250,0,250,0,0
102,-219,0,120,0,0
103,-245,0,146,0,0
104,-188,0,89,0,0
105,-286,0,187,0,0
106,-250,0,250,0,0
107,-126,0,27,0,0
108,-129,0,30,0,0
109,-126,0,27,0,0
110,-123,0,24,0,0
111,-173,0,74,0,0
112,-174,0,75,0,0
113,-142,0,43,0,0
114,-250,0,250,0,0
115,-187,0,88,0,0
116,-127,0,28,0,0
117,-178,0,79,0,0
118,-115,0,16,0,0
119,-318,0,219,0,0
120,-193,0,94,0,0
121,-250,0,250,0,0
122,-116,0,17,0,0
123,251,1,250,0,0
124,-250,0,250,0,0
125,-250,0,250,0,0
126,-250,0,250,0,0
127,-113,0,14,0,0
128,-203,0,104,0,0
129,-254,0,155,0,0
130,-145,0,46,0,0
131,-203,0,104,0,0
132,-311,0,212,0,0
133,-191,0,92,0,0
134,-260,0,161,0,0
135,-178,0,79,0,0
136,-112,0,13,0,0
137,-147,0,48,0,0
138,-141,0,42,0,0
139,-162,0,63,0,0
140,-222,0,123,0,0
141,-340,0,241,0,0
142,-214,0,115,0,0
143,-250,0,250,0,0
144,-244,0,145,0,0
145,-122,0,23,0,0
146,-250,0,250,0,0
147,-325,0,226,0,0
148,-250,0,250,0,0
149,-250,0,250,0,0
150,-212,0,113,0,0
151,-291,0,192,0,0
152,-250,0,250,0,0
153,-250,0,250,0,0
154,-116,0,17,0,0
155,-250,0,250,0,0
156,-189,0,90,0,0
157,-250,0,250,0,0
158,-193,0,94,0,0
159,-179,0,80,0,0
160,-250,0,250,0,0
161,-250,0,250,0,0
162,-205,0,106,0,0
163,-250,0,250,0,0
164,-128,0,29,0,0
165,-202,0,103,0,0
166,-318,0,219,0,0
167,-221,0,122,0,0
168,-237,0,138,0,0
169,-250,0,250,0,0
170,-308,0,209,0,0
171,-229,0,130,0,0
172,-210,0,111,0,0
173,-116,0,17,0,0
174,-233,0,134,0,0
175,-250,0,250,0,0
176,-250,0,250,0,0
177,-256,0,157,0,0
178,-188,0,89,0,0
179,-313,0,214,0,0
180,-175,0,76,0,0
181,-277,0,178,0,0
182,-153,0,54,0,0
183,-250,0,250,0,0
184,-182,0,83,0,0
185,-250,0,250,0,0
186,-205,0,106,0,0
187,-195,0,96,0,0
188,-250,0,250,0,0
189,-255,0,156,0,0
190,-250,0,250,0,0
191,-250,0,250,0,0
192,-339,0,240,0,0
193,-254,0,155,0,0
194,-199,0,100,0,0
195,-250,0,250,0,0
196,-250,0,250,0,0
197,-250,0,250,0,0
198,-182,0,83,0,0
199,-250,0,250,0,0
200,-238,0,139,0,0
201,-250,0,250,0,0
202,-182,0,83,0,0
203,-250,0,250,0,0
204,-250,0,250,0,0
205,-131,0,32,0,0
206,-245,0,146,0,0
207,-123,0,24,0,0
208,-203,0,104,0,0
209,-250,0,250,0,0
210,-120,0,21,0,0
211,-159,0,60,0,0
212,-317,0,218,0,0
213,-119,0,20,0,0
214,-116,0,17,0,0
215,-220,0,121,0,0
216,-112,0,13,0,0
217,-232,0,133,0,0
218,-234,0,135,0,0
219,-250,0,250,0,0
220,-217,0,118,0,0
221,-190,0,91,0,0
222,-260,0,161,0,0
223,-210,0,111,0,0
224,-294,0,195,0,0
225,-250,0,250,0,0
226,-235,0,136,0,0
227,-250,0,250,0,0
228,-162,0,63,0,0
229,-229,0,130,0,0
230,-124,0,25,0,0
231,-250,0,250,0,0
232,-256,0,157,0,0
233,-250,0,250,0,0
234,-250,0,250,0,0
235,-250,0,250,0,0
236,-253,0,154,0,0
237,-250,0,250,0,0
