episode,rewards,has_gold,step_per_episode,killed_wumpus,get_gold_and_return_home
0,-204,0,105,0,0
1,-122,0,23,0,0
2,-149,0,50,0,0
3,-243,0,144,0,0
4,-133,0,34,0,0
5,-187,0,88,0,0
6,-273,0,174,0,0
7,-312,0,213,0,0
8,-208,0,109,0,0
9,-250,0,250,0,0
10,-245,0,146,0,0
11,-180,0,81,0,0
12,-132,0,33,0,0
13,-113,0,14,0,0
14,-144,0,45,0,0
15,-149,0,50,0,0
16,-250,0,250,0,0
17,-321,0,222,0,0
18,-249,0,150,0,0
19,-212,0,113,0,0
20,-215,0,116,0,0
21,-273,0,174,0,0
22,-236,0,137,0,0
23,-272,0,173,0,0
24,-204,0,105,0,0
25,-176,0,77,0,0
26,-151,0,52,0,0
27,-179,0,80,0,0
28,-253,0,154,0,0
29,-310,0,211,0,0
30,-250,0,250,0,0
31,-104,0,5,0,0
32,-203,0,104,0,0
33,-308,0,209,0,0
34,-169,0,70,0,0
35,-112,0,13,0,0
36,-261,0,162,0,0
37,-250,0,250,0,0
38,-342,0,243,0,0
39,-250,0,250,0,0
40,-286,0,187,0,0
41,-134,0,35,0,0
42,-126,0,27,0,0
43,-144,0,45,0,0
44,-250,0,250,0,0
45,-107,0,8,0,0
46,-250,0,250,0,0
47,-141,0,42,0,0
48,-227,0,128,0,0
49,-265,0,166,0,0
50,-320,0,221,0,0
51,-110,0,11,0,0
52,-250,0,250,0,0
53,-250,0,250,0,0
54,-341,0,242,0,0
55,-148,0,49,0,0
56,-204,0,105,0,0
57,-185,0,86,0,0
58,-107,0,8,0,0
59,-250,0,250,0,0
60,-210,0,111,0,0
61,-250,0,250,0,0
62,-342,0,243,0,0
63,-203,0,104,0,0
64,-214,0,115,0,0
65,-155,0,56,0,0
66,251,1,250,0,0
67,-250,0,250,0,0
68,-216,0,117,0,0
69,-256,0,157,0,0
70,-250,0,250,0,0
71,-208,0,109,0,0
72,-250,0,250,0,0
73,-299,0,200,0,0
74,-269,0,170,0,0
75,-250,0,250,0,0
76,-157,0,58,0,0
77,-232,0,133,0,0
78,-135,0,36,0,0
79,-318,0,219,0,0
80,-250,0,250,0,0
81,-250,0,250,0,0
82,-104,0,5,0,0
83,-312,0,213,0,0
84,-250,0,250,0,0
85,-127,0,28,0,0
86,-199,0,100,0,0
87,-236,0,137,0,0
88,-114,0,15,0,0
89,-253,0,154,0,0
90,-115,0,16,0,0
91,-137,0,38,0,0
92,-182,0,83,0,0
93,-303,0,204,0,0
94,-250,0,250,0,0
95,-264,0,165,0,0
96,-250,0,250,0,0
97,-213,0,114,0,0
98,-207,0,108,0,0
99,-156,0,57,0,0
100,-149,0,50,0,0
101,-286,0,187,0,0
102,-231,0,132,0,0
103,-150,0,51,0,0
104,-250,0,250,0,0
105,-137,0,38,0,0
106,-152,0,53,0,0
107,-314,0,215,0,0
108,-250,0,250,0,0
109,-250,0,250,0,0
110,-110,0,11,0,0
111,-133,0,34,0,0
112,-221,0,122,0,0
113,-250,0,250,0,0
114,-250,0,250,0,0
115,-250,0,250,0,0
116,-225,0,126,0,0
117,-197,0,98,0,0
118,-238,0,139,0,0
119,-232,0,133,0,0
120,-108,0,9,0,0
121,-112,0,13,0,0
122,-192,0,93,0,0
123,-218,0,119,0,0
124,-143,0,44,0,0
125,-133,0,34,0,0
126,-149,0,50,0,0
127,-250,0,250,0,0
128,-250,0,250,0,0
129,-147,0,48,0,0
130,-143,0,44,0,0
131,-250,0,250,0,0
132,-250,0,250,0,0
133,-250,0,250,0,0
134,-115,0,16,0,0
135,-168,0,69,0,0
136,-250,0,250,0,0
137,-333,0,234,0,0
138,-250,0,250,0,0
139,-247,0,148,0,0
140,-126,0,27,0,0
141,-250,0,250,0,0
142,-250,0,250,0,0
143,-215,0,116,0,0
144,-250,0,250,0,0
145,-250,0,250,0,0
146,-240,0,141,0,0
147,-208,0,109,0,0
148,-210,0,111,0,0
149,-193,0,94,0,0
150,-250,0,250,0,0
151,-238,0,139,0,0
152,-233,0,134,0,0
153,-250,0,250,0,0
154,-303,0,204,0,0
155,-250,0,250,0,0
156,-207,0,108,0,0
157,-216,0,117,0,0
158,-185,0,86,0,0
159,-250,0,250,0,0
160,-166,0,67,0,0
161,-250,0,250,0,0
162,-178,0,79,0,0
163,-128,0,29,0,0
